id,stratum,doi_r,doi_o,A,B,has_fulltext,claude_verdict,claude_own_outcome,claude_confidence,claude_evidence_basis,claude_reasoning,claude_quote,claude_correct_original,codex_verdict,codex_own_outcome,codex_confidence,codex_evidence_basis,codex_reasoning,codex_quote,codex_correct_original,consensus
cbd-011,cbd,10.1109/cbms.2017.60,10.1167/iovs.12-10268,mo,ours,False,cannot_tell,cannot_tell,low,web_abstract_or_partial,"Only the abstract was accessible. It says the single-eye analysis was re-compared with Montolio's time-of-test results and that single-eye values may give a distorted picture, with the two eyes differing in the same time period. It does not say whether the time-of-day effect held, so neither 'success' nor 'cannot be determined' can be confirmed without the full text.",Results revealed that using the values from just one eye (as opposed to both) may give a distorted picture of the AGIS scores; differences in the same time period were found between the two eyes.,,mo,inconclusive,medium,web_abstract_or_partial,"The accessible abstract reports mixed, eye-dependent results: analyzing one eye at a time produced differences between eyes, so the original time-of-day pattern was not cleanly reproduced across analyses. Nevertheless, A is more defensible than B because the paper does report empirical results, and it does not describe a null or reversed overall finding.",Results revealed that using the values from just one eye (as opposed to both) may give a distorted picture of the AGIS scores; differences in the same time period were found between the two eyes.,,split
cbd-012,cbd,10.1609/aaai.v39i25.34818,10.1007/978-3-319-10590-1_53,mo,ours,True,ours,cannot_tell,high,packet_fulltext,"In Table 1, Zeiler and Fergus 2014 is coded NR (No Result) with 0% of experiments completed because of time. The attempt produced no result for this study. The authors pool NR with failures only for aggregate analysis, so 'failure' misreads the outcome and 'cannot be determined' is accurate.",(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR,,ours,inconclusive,high,packet_fulltext,"The paper classifies the Zeiler and Fergus replication as “No Result,” not “Failure”: none of its 20 experiments was completed, and there were therefore no identical, consistent, or failed results. Consequently, the attempt provides no evidence for deciding whether the original finding was reproduced, making B more defensible; under the requested outcome categories, this is inconclusive rather than an observed replication failure.",(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR,n/a,ours
cbd-013,cbd,10.2466/pms.2002.94.3.867,10.1017/s1352465899273079,mo,ours,False,mo,success,medium,packet_abstract_only,"The single-case replication used urine alarms plus prompts, the same approach as the original. The student became almost free of large accidents, started toileting himself, and kept the gains at follow-up, so the original treatment effect was reproduced. The abstract reports a clear result.","The student became almost totally free from large urinary accidents, replacing them with self-initiated toileting and small accidents (wetting only a disposable tissue), and retained his improvement over time.",,mo,success,high,web_abstract_or_partial,"The PubMed abstract reports that treatment nearly eliminated large urinary accidents, increased self-initiated toileting, and that improvement persisted at three-month follow-up. This directly reproduces the original finding that urine alarms, staff prompts, and reinforcement promote daytime continence, making Answer A clearly more defensible.",The student became almost totally free from large urinary accidents,,mo
cbd-014,cbd,10.2466/pr0.1967.20.3c.1023,10.1126/science.139.3559.1048,mo,ours,False,mo,success,medium,packet_abstract_only,"As in Lee (1963), planarians whose photobeam breaks ended the light responded more than their yoked controls. That is the original finding in the same direction. The abstract reports a result, though no statistics were visible.",The response rate of the light-escape contingent group was greater than that of their yoked pairs.,,mo,success,high,web_abstract_or_partial,"The publisher’s abstract reports the critical comparison in the predicted direction: planarians whose photobeam-breaking response terminated the light responded more frequently than yoked controls. This reproduces the original finding, and a later review also explicitly describes Crawford and Skeen as a successful replication of Lee.",The response rate of the light-escape contingent group was greater than that of their yoked pairs.,,mo
cbd-015,cbd,10.1186/s13058-024-01955-x,10.1186/s12885-019-5403-0,mo,ours,True,mo,inconclusive,high,packet_fulltext,"Of de Almeida's five CpGs, three were significantly associated with breast cancer-specific survival in the original unadjusted model. The other two pointed the same way but were not significant, and only one (PRAC2) survived adjustment. That is a partial replication.","For De Almeida et al. [9], 3 of 5 CpGs showed evidence of associations with breast cancer-specific survival that were consistent in direction (P ≤ 0.01, HRs per SD between 1.41 and 1.58 for HOXD9, C17orf93 and TDRD10) in Model 0 used by the authors",,mo,inconclusive,high,packet_fulltext,"The paper directly reports partial, rather than complete, replication of de Almeida et al.: three of the five CpGs had statistically supported associations in the same direction, while the other two were directionally consistent but nonsignificant. Thus the result is mixed and is best coded as inconclusive; Answer A is clearly more defensible than claiming the outcome cannot be determined.","For De Almeida et al. [9], 3 of 5 CpGs showed evidence of associations with breast cancer-specific survival that were consistent in direction (P ≤ 0.01, HRs per SD between 1.41 and 1.58 for HOXD9, C17orf93 and TDRD10) in Model 0 used by the authors, Table 2. For the two remaining CpGs, the HRs were consistent in direction with De Almeida et al. 's [9] study (cg04475027, HR = 1.26, P = 0.08, cg01268824, HR = 1.18, P = 0.18), Table 2.",n/a,mo
cbd-016,cbd,10.23846/rps0016,10.1097/qad.0b013e32833e77c9,ours,mo,True,mo,success,high,packet_fulltext,"3ie pure replication of Cowan et al. (2010) reanalysing the original data; the authors state they reproduced the original findings (null effects on HIV/HSV-2, modest knowledge/attitude gains) with only minor discrepancies. A result is clearly reported, so 'cannot be determined' is not defensible.",We were able to replicate the original findings with minor discrepancies.,,mo,success,high,packet_fulltext,"The replication paper explicitly reports that it reproduced Cowan et al.'s findings, with only minor discrepancies. This includes the central result that the intervention did not reduce HIV or HSV-2 prevalence while improving some knowledge and attitude outcomes, so Answer B is clearly more defensible.",We were able to replicate the original findings with minor discrepancies.,n/a,mo
cbd-017,cbd,10.1177/0145445515580533,10.1007/s10862-007-9073-x,mo,ours,False,mo,failure,medium,web_fulltext,"The replication EFA again found two factors, but not the original Focused (10) / Automatic (5) structure: items regrouped into new 'Intention' (8) and 'Emotion' (5) scales and the authors call for a revised scale. The original factor structure was therefore not reproduced; a result is clearly reported.","The results of our EFA differ in several ways from that of the EFA conducted previously by Flessner, Woods, et al. (2008) on an Internet sample.",,mo,failure,high,web_fulltext,"Although both studies found two factors, the replication did not reproduce the original Automatic and Focused factors. Instead, it produced a revised 13-item instrument with Intention and Emotion factors, different item assignments, and two removed items, so Answer A is defensible.",These constructs differ from the constructs of “focused” and “automatic” pulling suggested from the factor analysis on the original Internet sample.,n/a,mo
cbd-018,cbd,10.1111/j.1533-8525.1967.tb01054.x,10.1111/j.1533-8525.1960.tb01466.x,mo,ours,False,cannot_tell,cannot_tell,low,packet_abstract_only,"The packet has no abstract or text, and the 1967 paper was not accessible (publisher 403, no abstract in indexes). I could not read what the replication found, so I cannot judge either answer.",,,mo,failure,medium,web_abstract_or_partial,"Maranell re-applied the three measurement approaches but did not reproduce Rennie and Hilgendorf’s moderate concordance among the resulting class rankings. Thus the replication reported a substantive non-reproduction, making “failure” more defensible than claiming that the paper itself provides no determination.",,,split
cbd-019,cbd,10.1167/iovs.11-8068,10.1093/hmg/ddr121,ours,mo,True,mo,failure,high,packet_fulltext,"The original's top hits were not replicated: rs476141 showed an OR in the opposite direction in WESDR and its combined P did not improve, and rs10521145 failed to replicate (P = 0.631). No association reached genome-wide significance. A result is reported, so 'cannot be determined' is not defensible.","The other main finding from the previous study, rs10521145, was genotyped in WESDR separately, but failed to replicate (P ¼ 0.631).",,mo,failure,high,packet_fulltext,"The independent WESDR cohort did not reproduce either highlighted SNP association from the original GWAS. rs476141 had a nonsignificant WESDR result (P = 0.700) with an effect opposite to the original cohorts, while rs10521145 was also nonsignificant (P = 0.631); therefore the replication failed, making Answer B more defensible.","The other main finding from the previous study, rs10521145, was genotyped in WESDR separately, but failed to replicate (P = 0.631).",,mo
cont-020,contradiction,10.3389/fncel.2025.1681881,10.1016/j.cell.2023.08.037,mo,ours,True,mo,success,high,packet_fulltext,"The finding at issue is Sun et al.'s expansion of lipid-processing microglia in AD in the PFC. The authors identified the LPM cluster and confirmed its expansion (Wilcoxon p = 5.17e-07; adjusted regression p = 0.0033). The null T-cell results concern other originals, not this finding.","We successfully identified this cluster in our version of the dataset (Figures 1A,B) and confirmed its expansion in AD using a Wilcoxon Test (p = 5.17 e-07) and through covariate-adjusted linear regression (p = 0.0033)",,mo,success,high,packet_fulltext,"The replication paper explicitly re-tested Sun et al.'s reported expansion of MYO1E/PTPRG-defined lipid-processing microglia in Alzheimer’s disease prefrontal cortex. It identified the same cluster and found significantly greater abundance in AD using both an unadjusted Wilcoxon test (p = 5.17×10^-7) and covariate-adjusted regression (p = 0.0033), so the original finding was successfully reproduced.","We successfully identified this cluster in our version of the dataset (Figures 1A,B) and confirmed its expansion in AD using a Wilcoxon Test (p = 5.17 e-07) and through covariate-adjusted linear regression (p = 0.0033) (Figure 1C; Table 1).",,mo
cont-021,contradiction,10.1186/2040-2392-5-14,10.1016/j.pnpbp.2010.11.033,ours,mo,True,mo,failure,medium,packet_fulltext,"The finding at issue is Nakamura et al.'s nominal association of rs6951030 with HFA in a Japanese sample. In this Caucasian AS sample that SNP was not associated, and the authors say so explicitly. The other two SNPs, which did replicate, come from a different original (Caucasian TDT study).",We were not able to replicate the nominal association between rs69510130 and HFA [13] in our sample.,,mo,failure,high,packet_fulltext,"The finding at issue was the reported association between rs69510130 and high-functioning autism. Although the replication found significant associations for two other STX1A SNPs, it explicitly states that the rs69510130 association was not replicated; the corresponding tested SNP in Table 1 was nonsignificant (P = 0.06).",We were not able to replicate the nominal association between rs69510130 and HFA [13] in our sample.,n/a,mo
cont-022,contradiction,10.1016/j.mgene.2016.03.007,10.1016/j.jsams.2013.02.006,ours,mo,True,mo,failure,medium,packet_fulltext,"TIMP2 rs4789932 was associated with ATP in British males, but in the opposite direction to the original (here the CT genotype was protective and CC the risk genotype). Both answers describe a non-replication; 'reversal' is the more precise description of an opposite-direction significant result.",although the direction of the association found in this study (CC genotype as risk factor) was opposite to that reported in the earlier work,,mo,failure,high,packet_fulltext,"The original CT-risk association was not reproduced: in British males, CT was significantly overrepresented among controls and therefore associated with lower, rather than higher, ATP risk. This is a statistically supported opposite-direction association, so it is best described as a reversal, while still constituting a replication failure under the requested outcome coding.","This finding differs with an earlier study in which the CC genotype was over represented among controls and the CT genotype associated with ATP cases in a combined Australian and South African Caucasian population (El Khoury et al. 2013). However, although the direction of the association found in this study (CC genotype as risk factor) was opposite to that reported in the earlier work (CC genotype as protective factor)",n/a,mo
cont-023,contradiction,10.1111/j.1944-9720.2004.tb02174.x,10.2307/3588049,mo,ours,False,mo,failure,low,packet_abstract_only,"The full text was not accessible (Wiley closed), so this rests on the abstract. It reports that brief imperative comments produced successful revisions and that the successful feedback type depended on the composition environment. That contrasts with Ferris's advanced-ESL findings on which comment types worked, so the original pattern did not carry over.",successful feedback type was dependent upon the composition environment,,ours,success,high,web_abstract_or_partial,"Gascoigne reproduced Ferris’s central result that teacher commentary, particularly imperative feedback, prompted successful revisions. Although Gascoigne emphasized that the most effective feedback depends on the composition environment, this qualifies rather than negates the replicated positive effect.",brief teacher commentary (4–5 words in length) in the form of imperatives tended to engender successful revisions,,split
cont-024,contradiction,10.4236/jcdsa.2017.74027,10.1111/j.1524-4725.2007.33060.x,mo,ours,False,mo,failure,medium,web_fulltext,"The authors pre-specified that ACF would be rejected as ineffective if the response rate fell below 42% (the original's rate). They observed 33% by investigators and 22% by independent evaluators, below both their threshold and the original's 42%, and there was no control arm. Their 'successful replication' claim concerns the lab procedure, not the efficacy finding.",ACF would be rejected as ineffective if we were to observe a response rate of less than 42% (11 or more non-response).,,mo,failure,high,web_fulltext,"The replication’s prespecified primary endpoint required a 2-point improvement and treated a response rate below 42% as ineffective. Only 22% met that endpoint by independent evaluation (and 33% by investigators), so although lesser improvements occurred and the authors described the treatment favorably, the original efficacy finding was not reproduced under the replication’s own criterion.","For the primary endpoint, only 4 patients (22%) had improved by 2 or more points on the 7-point scale, short of the required 45% response rate.",,mo
cont-025,contradiction,10.1080/02699931.2018.1468732,10.3758/bf03213926,ours,mo,True,mo,failure,high,packet_fulltext,"A direct preregistered replication with 4x the sample found essentially no gaze-liking effect (dz = 0.02 vs 0.94 originally), while a gaze-cuing manipulation check worked. That is a failure to replicate.",Our results indicate a much smaller standardised effect size (dz = 0.02) than that of the original study (dz = 0.94).,,mo,failure,high,packet_fulltext,"The replication found virtually identical liking ratings in the eyes-toward and eyes-away conditions, with an estimated standardized effect of dz = 0.02. The predicted gaze-liking effect was nonsignificant in both the by-subject and by-item tests, so the original finding was not reproduced; the strong gaze-cuing effect does not change that outcome.",There was a very small difference indicating increased liking for objects presented in the eyes-toward (M=4.752; SD = 1.04) compared to objects presented in the eyes-away condition (M=4.750; SD = 1.03). Bayesian analyses supports the observation that the effect is very small and most likely close to zero.,,mo
cont-026,contradiction,10.3389/fnins.2016.00531,10.1002/ana.24215,mo,ours,False,mo,failure,medium,packet_abstract_only,"In the independent Danish cohort, rs2060546 was not significantly associated with GTS (OR 1.363, p = 0.33), although the direction was the same. Significance came only from a meta-analysis that pools in the original GWAS and GGRI cohorts, so it is not independent evidence. The replication sample itself did not reproduce the association.",Our results did not reveal an association (OR= 1.363; p-value = 0.3329) in the Danish cohort alone,,mo,failure,high,web_fulltext,"The independent Danish cohort showed an effect in the original direction, but it was not statistically significant, so it did not reproduce the association under the stated criterion. The significant meta-analysis pooled this cohort with previously published datasets, including the original study, and therefore does not establish a successful independent replication.","We did not find the SNP rs2060546 to be significantly associated in the Danish cohort (OR = 1.363, 95% CI 0.7188-2.675; p-value = 0.3329).",,mo
cont-027,contradiction,10.1609/aaai.v39i25.34818,10.1016/j.ab.2015.12.009,mo,ours,True,ours,success,high,web_fulltext,"In Table 1, Jia et al. 2016b is iSuc-PseOpt (confirmed in the reference list of the AAAI PDF). It is listed with 100% of experiments completed and consistent, result S (Success). The 'NR' row belongs to Jia et al. 2016a, a different article.",(Jia et al. 2016b)R3221100%0%100%0%0S,,ours,success,high,packet_fulltext,"The bibliography identifies iSuc-PseOpt as Jia et al. (2016b), not Jia et al. (2016a). Table 1 reports that all 11 experiments for Jia et al. (2016b) were completed, 100% were consistent with the original, none failed, and the aggregate result was Success (S).",(Jia et al. 2016b)R3221100%0%100%0%0S,n/a,ours
cont-028,contradiction,10.1080/09291016.2016.1275400,10.1038/srep06309,ours,mo,False,mo,failure,medium,packet_abstract_only,"Two hypotheses were tested. The rs2640909 morning-scale hypothesis was supported, but the rs228729 hypothesis (the finding at issue) was not: the abstract says only 'the former' was supported. The full text was not accessible.",The results provided support for the former hypothesis.,,mo,failure,high,web_fulltext,"The rs228729 analysis did not reproduce the predicted higher scores on both morning and evening earliness–lateness scales. The hypothesized sum-of-scores effect was nonsignificant, while the significant morning-scale difference was opposite to the expected direction; the authors explicitly describe this as a failure to replicate (elsewhere inconsistently labeling the SNP rs228697).",Such kind of limitations can also explain our failure to replicate the earlier reported association of the rare allele of rs228697 with evening preference.,,mo
cont-029,contradiction,10.1046/j.1467-9450.2003.00363.x,10.3758/bf03210977,ours,mo,False,mo,success,medium,web_abstract_or_partial,"The novelty effect (better recognition of novel than familiar items) was reproduced, and under a strict confidence criterion novel hit rates also exceeded familiar ones, giving the mirror effect stated as the finding at issue. The authors present this as a replication that extends the effect. The full text was not accessible.","novel hit rates were higher than familiar ones when the most confident responses were examined separately, and thus a mirror effect could be demonstrated for these data",,mo,success,high,web_abstract_or_partial,"The replication reproduced the specified mirror effect when responses were restricted to the highest-confidence category: novel items had higher hit rates, alongside the novelty advantage in false alarms. This pattern appeared for both low- and high-frequency words, so Answer B is more defensible despite the effect depending on a strict response criterion.","novel hit rates were higher than familiar ones when the most confident responses were examined separately, and thus a mirror effect could be demonstrated",,mo
cont-030,contradiction,10.1038/s41598-017-07404-4,10.1002/ana.21480,ours,mo,True,mo,failure,medium,packet_fulltext,"The finding at issue is specifically rs2200733 with cardioembolic stroke. In this Dutch cohort that SNP was not significant (OR 1.30, p = 0.60). The 4q25 locus was confirmed only through a different SNP (rs2634074), so 'success' rests on locus-level confirmation rather than the original variant. The effect direction matched and the authors attribute the null to low power.","we confirmed the association at rs2634074 with CE stroke (OR = 1.43 for the T allele; 95% CI, 1.13-1.81, p = 0.029), but not at rs2200733 (OR = 1.30 for the T allele; 95% CI, 0.96-1.76; p = 0.60)",,mo,failure,high,packet_fulltext,"The finding at issue specifically concerns rs2200733 at PITX2 and cardioembolic stroke. Although the study replicated the 4q25 locus through a different variant, rs2634074, the association for rs2200733 was not statistically supported (OR 1.30, 95% CI 0.96–1.76, p = 0.60), so the specified original finding was not reproduced.","At the 4q25 (PITX2) locus, previously identified by GWAS, we confirmed the association at rs2634074 with CE stroke (OR = 1.43 for the T allele; 95% CI, 1.13-1.81, p = 0.029), but not at rs2200733 (OR = 1.30 for the T allele; 95% CI, 0.96-1.76; p = 0.60) (Table 1).",n/a,mo
cont-031,contradiction,10.1109/tnsre.2020.2974272,10.1109/tnsre.2019.2941349,ours,mo,False,ours,failure,medium,web_abstract_or_partial,"The replication implemented SSCOR with proper cross-validation on the benchmark dataset and obtained significantly lower accuracy than Kumar et al. reported; the original accuracy was only reproduced when data leakage was simulated. The claimed superiority is therefore not reproduced. 'Failure' is the safe coding; the accessible text does not establish that SSCOR performed significantly WORSE than TRCA (a true reversal of direction), so 'reversal' overstates what I could verify.",Our results showed significantly lower classification accuracy compared with the ones reported in Kumar et al.'s study.,,ours,failure,high,web_abstract_or_partial,"With proper cross-validation, the replication obtained significantly lower accuracy than Kumar et al. and reproduced Kumar et al.’s performance only when simulating training–test leakage. The original superiority claim therefore failed to replicate; the accessible text does not establish a statistically supported opposite effect, so “reversal” is less defensible.",Our results showed significantly lower classification accuracy compared with the ones reported in Kumar et al.'s study.,,ours
cont-032,contradiction,10.1002/ajmg.b.32106,10.1038/mp.2011.142,ours,mo,False,mo,failure,medium,packet_abstract_only,"The finding at issue is ABCC9 with sleep duration (Allebrandt et al.). The additive model did not replicate it; a significant association appeared only under a recessive model resting on a rare homozygous genotype with n = 2, which is not credible support. The successful replication in this paper was the CACNA1C/sleep-quality locus from the other GWAS, not this original.",A significant association of the ABCC9 gene (rs11046209) with sleep duration was seen only in a recessive models based upon a rare homozygous genotype (n = 2).,,mo,failure,high,web_abstract_or_partial,"The original association concerned rs11046205 in ABCC9 and sleep duration, but the replication did not reproduce that SNP–phenotype association. Its only significant sleep-duration result involved a different SNP, rs11046209, under a recessive model supported by just two rare homozygotes; rs11046205 was instead associated with depressive symptoms.",A significant association of the ABCC9 gene (rs11046209) with sleep duration was seen only in a recessive models based upon a rare homozygous genotype (n = 2).,n/a,mo
cont-033,contradiction,10.3758/s13421-017-0708-1,10.1016/j.cognition.2006.02.009,ours,mo,False,mo,failure,medium,packet_abstract_only,"Connell (2007) reported a mismatch advantage for colour. This conceptual replication found the opposite, a match advantage at normal saturation, in line with Zwaan & Pecher (2012). The result goes in the opposite direction, so 'reversal' is right and 'success' is wrong.","We found a match advantage when objects were shown at normal levels of saturation, but this match advantage disappeared when saturation was reduced",,mo,failure,high,web_fulltext,"The conceptual replication found a significant 104-ms match advantage, whereas Connell’s original study reported a mismatch advantage. Because the effect was statistically supported but opposite in direction, the original finding was not reproduced and Answer B’s “reversal” is more defensible.",The match advantage was also found in the RTs: the match condition was 104 ms faster than the mismatch condition.,,mo
cont-034,contradiction,10.1017/s0272263109990027,10.1017/s0272263108080467,mo,ours,False,ours,failure,medium,packet_abstract_only,"This paper conceptually replicates Fernández's (2008) word-order/object-pronoun experiment, where she found no effect of explicit information. Henry et al. found a clear EI effect for German word order and case marking, so the original (null) result was not reproduced, and the authors themselves frame the result as a difference from Fernández.","Whereas Fernández did not find an effect for EI for word order and object pronouns in Spanish, we found an effect for word order and case markings in German",,ours,failure,high,web_abstract_or_partial,"Fernández (2008) found no effect of explicit information for Spanish word order and object pronouns. The conceptual replication instead found an explicit-information effect for German word order and case marking, so it did not reproduce the original null finding.",we found an effect for word order and case markings in German,,ours
