doi_r,original_url,result,replication_type,replication_year,replication_title,field,source,validated,confidence,ai_version
10.1002/art.39619,https://doi.org/10.1038/ng.2462,success,direct,2016,Replication of Associations of Genetic Loci Outside the HLA Region With Susceptibility to Anti–Cyclic Citrullinated Peptide–Negative Rheumatoid Arthritis,biological sciences,,no,high,8.0
10.1002/art.39932,https://doi.org/10.1136/ard.2010.134155,success,close extension,2017,Genome‐Wide Association Study of Radiographic Knee Osteoarthritis in North American Caucasians,biological sciences,,no,high,8.8-base
10.1002/art.40678,https://doi.org/10.1002/art.40237,success,close extension,2018,Anti–Carbamylated Protein Antibodies and Higher Baseline Disease Activity in Rheumatoid Arthritis—A Replication Study in Three Cohorts: Comment on the Article by Truchetet et al,biological sciences,,no,high,8.4
10.1002/aur.1662,https://doi.org/10.1038/nature08490,failure,direct,2017,Lack of replication of previous autism spectrum disorder GWAS hits in European populations,biological sciences,,no,high,8.4
10.1002/aur.1857,https://doi.org/10.1126/science.1146221,failure,close extension,2018,Genetic background effects in Neuroligin‐3 mutant mice: Minimal behavioral abnormalities on C57 background,biological sciences,,no,high,8.4
10.1002/aur.2161,https://doi.org/10.1038/mp.2008.18,success,close experiment,2019,Increased facial asymmetry in autism spectrum conditions is associated with symptom presentation,social sciences,,no,high,8.4
10.1002/bdm.1837,https://doi.org/10.1038/nature11467,success,close extension,2015,Social Context and the Dynamics of Cooperative Choice,social sciences,,no,high,8.8-base
10.1002/bdm.370,https://doi.org/10.1016/0749-5978(85)90049-4,success,close extension,2001,The mental accounting of sunk time costs: why time is not like money,social sciences,,no,high,8.8-base
10.1002/bdr2.1773,https://doi.org/10.1002/bdr2.1686,success,close extension,2020,Maternal risk associated with the<scp>VACTERL</scp>association: A case–control study,biological sciences,,no,high,8.4
10.1002/bem.20337,https://doi.org/10.1002/(sici)1521-186x(1997)18:2<132::aid-bem6>3.0.co;2-3,failure,close experiment,2007,Ornithine decarboxylase activity of L929 cells after exposure to continuous wave or 50 Hz modulated radiofrequency radiation—a replication study,biological sciences,,no,high,8.4
10.1002/bem.20605,,inconclusive,close experiment,2010,Confirmation studies of Soviet research on immunological effects of microwaves: Russian immunology results,biological sciences,,no,high,8.4
10.1002/bem.2250130403,,success,close experiment,1992,A replication study of human exposure to 60‐Hz fields: Effects on neurobehavioral measures,biological sciences,,no,high,8.4
10.1002/bem.2250160208,https://doi.org/10.1095/biolreprod49.4.857,success,direct,1995,Melatonin and puberty in female lambs exposed to EMF: A replicate study,biological sciences,,no,high,8.4
10.1002/bin.1985,https://doi.org/10.1002/jaba.950,success,close extension,2024,Using synchronous reinforcement to increase mask wearing in young children: A replication and extension,social sciences,subdiscipline AI-tagged (claude sonnet),no,high,8.1
10.1002/brb3.180,https://doi.org/10.1152/jn.1998.80.5.2657,success,close experiment,2013,Prediction processes during multiple object tracking (<scp>MOT</scp>): involvement of dorsal and ventral premotor cortices,biological sciences,,no,high,8.4
10.1002/brb3.313,https://doi.org/10.1038/sj.mp.4001593,inconclusive,close extension,2015,Involvement of <scp>GPR</scp>50 polymorphisms in depression: independent replication in a prospective elderly cohort,biological sciences,,no,high,8.4
10.1002/cpt.2424,https://doi.org/10.1200/jco.2012.45.8372,inconclusive,conceptual,2021,Replication of Oncology Randomized Trial Results using Swedish Registry Real World‐Data: A Feasibility Study,biological sciences,,no,high,8.4
10.1002/da.22678,https://doi.org/10.3389/fnbeh.2013.00030,success,close extension,2018,"<i>COMT</i>
            val158met polymorphism links to altered fear conditioning and extinction are modulated by PTSD and childhood trauma",social sciences,,no,high,8.4
10.1002/dev.20062,https://doi.org/10.1080/135765098397160,success,close extension,2005,Handedness and specific language impairment: A study of 6-year-old twins,social sciences,,no,high,8.8-base
10.1002/dys.1470,https://doi.org/10.1016/j.bandl.2004.11.009,failure,close experiment,2014,"A Tale of Two Studies on Auditory Training in Children: A Response to the Claim that ‘Discrimination Training of Phonemic Contrasts Enhances Phonological Processing in Mainstream School Children’ by Moore, Rosenberg and Coleman (2005)",social sciences,,no,high,8.4
10.1002/eat.10025,https://doi.org/10.1001/archpsyc.55.10.927,success,close experiment,2002,"Eating‐related concerns, mood, and personality traits in recovered bulimia nervosa subjects: A replication study",social sciences,,no,high,8.4
10.1002/eat.1066,https://doi.org/10.1002/1098-108x(200103)29:2<139::aid-eat1003>3.0.co;2-i,success,direct,2001,Childhood trauma has dose‐effect relationship with dropping out from psychotherapeutic treatment for bulimia nervosa: A replication,biological sciences,,no,high,8.4
10.1002/eat.1102,https://doi.org/10.1002/eat.1073,inconclusive,close extension,2001,Environmental temperature during pregnancy and eating attitudes during teenage years: A replication and extension study,social sciences,,no,high,8.4
10.1002/eat.20006,https://doi.org/10.1177/0272431602022001005,inconclusive,close experiment,2004,"Evaluation of a school‐based program designed to improve body image satisfaction, global self‐esteem, and eating attitudes and behaviors: A replication study",social sciences,,no,high,8.4
10.1002/eat.20444,,inconclusive,close extension,2008,The tripartite influence model of body image and eating disturbance: A replication with a Japanese sample,social sciences,,no,high,8.4
10.1002/eat.20801,https://doi.org/10.1176/APPI.AJP.164.6.970,success,close extension,2011,Percent body fat is a risk factor for relapse in anorexia nervosa: A replication study,biological sciences,,no,high,8.0
10.1002/eat.22228,https://doi.org/10.1038/npp.2010.49,failure,direct,2014,Association study of the estrogen receptor I gene (<i>ESR1</i>) in anorexia nervosa and eating disorders: No replication found,biological sciences,,no,high,8.4
10.1002/eat.22304,https://doi.org/10.1001/archpsyc.63.1.82,success,close extension,2015,Obstetric complications and eating disorders: A replication study,biological sciences,,no,high,8.4
10.1002/ece3.1300,https://doi.org/10.1007/s10682-012-9597-8,failure,close extension,2014,Validation of outlier loci through replication in independent data sets: a test on <i>Arabis alpina</i>,biological sciences,,no,high,8.4
10.1002/ece3.71556,https://doi.org/10.1007/s10530-019-01934-w,success,direct,2025,Non‐Native Herpetofauna Continue to Proliferate in the World's Most Invaded Herpetofauna Community,physical sciences,,no,high,8.4
10.1002/ejp.70042,https://doi.org/10.1016/j.psychres.2005.04.009,success,close extension,2025,Temporal Summation of Pain Unpleasantness Is Increased in Borderline Personality Disorder,biological sciences,,no,high,8.4
10.1002/elps.201100128,https://doi.org/10.1038/ng2121,inconclusive,close extension,2011,Confirmation that SNPs in the high mobility group‐A2 gene (<i>HMGA2</i>) are associated with adult height in the Japanese population; wide‐ranging population survey of height‐related SNPs in <i>HMGA2</i>,biological sciences,,no,high,8.4
10.1002/erv.2686,https://doi.org/10.1016/j.biopsych.2018.05.008,success,conceptual,2019,Cortical morphometry in anorexia nervosa: An out‐of‐sample replication study,biological sciences,,no,high,8.0
10.1002/gepi.21707,https://doi.org/10.1038/ng.407,success,direct,2013,Analysis of 60 Reported Glioma Risk <scp>SNP</scp>s Replicates Published <scp>GWAS</scp> Findings but Fails to Replicate Associations From Published Candidate‐Gene Studies,biological sciences,,no,high,8.5
10.1002/hbm.10074,https://doi.org/10.1017/s0048577201981867,success,direct,2002,Reproducibility of the hemodynamic response to auditory oddball stimuli: A six‐week test–retest study,biological sciences,,no,high,8.5
10.1002/hbm.20283,https://doi.org/10.1016/j.neuroimage.2004.03.025,success,direct,2007,Abnormal activation of the social brain during face perception in autism,biological sciences,,no,high,8.4
10.1002/hbm.20684,,success,close experiment,2009,Off‐line sentence processing: What is involved in answering a comprehension probe?,biological sciences,,no,medium,8.4
10.1002/hbm.21434,https://doi.org/10.1126/science.1167768,failure,direct,2013,Partial support for <i>ZNF804A</i> genotype‐dependent alterations in prefrontal connectivity,biological sciences,,no,high,8.4
10.1002/hbm.22787,https://doi.org/10.1016/j.neuropsychologia.2012.07.025,success,close extension,2015,"Immediate memory for “when, where and what”: Short‐delay retrieval using dynamic naturalistic material",biological sciences,,no,high,8.4
10.1002/hbm.24946,https://doi.org/10.1002/aur.1604,success,close extension,2020,Brain responses to human‐voice processing predict child development and intelligence,biological sciences,,no,high,8.4
10.1002/hbm.25572,https://doi.org/10.1093/cercor/bhy109,success,close experiment,2021,"Neuroanatomical norms in the
                    <scp>UK</scp>
                    Biobank: The impact of allometric scaling, sex, and age",biological sciences,,no,high,8.4
10.1002/hbm.26587,https://doi.org/10.1162/netn_a_00151,success,close extension,2024,Cortical timescales and the modular organization of structural and functional brain networks,biological sciences,,no,high,8.4
10.1002/hbm.70318,https://doi.org/10.1016/j.ynstr.2020.100276,failure,conceptual,2025,Effects of Oral Contraceptive Pills on Brain Networks: A Conceptual Replication and Extension,biological sciences,,no,high,8.0
10.1002/hep.28322,https://doi.org/10.1038/ng.876,failure,close extension,2016,DEPDC5 variants increase fibrosis progression in Europeans with chronic hepatitis C virus infection,biological sciences,,no,high,8.5
10.1002/hep.31314,https://doi.org/10.1164/rccm.200809-1472oc,success,close extension,2021,Estrogen Signaling and Portopulmonary Hypertension: The Pulmonary Vascular Complications of Liver Disease Study (PVCLD2),biological sciences,,no,high,8.5
10.1002/hipo.23099,https://doi.org/10.1111/j.1467-9280.1997.tb00442.x,success,close extension,2019,Evidence for age‐related deficits in object‐location binding during place recognition,social sciences,,no,high,8.8-base
10.1002/humu.20209,https://doi.org/10.1086/302540,success,close extension,2005,Scanning of genetic effects of alcohol metabolism gene (<i>ADH1B</i>and<i>ADH1C</i>) polymorphisms on the risk of alcoholism,biological sciences,,no,medium,8.8-base
10.1002/humu.20725,https://doi.org/10.1038/ng1943,success,close extension,2008,SORL1 is genetically associated with increased risk for late-onset Alzheimer disease in the Belgian population,biological sciences,,no,high,8.4
10.1002/humu.20840,https://doi.org/10.1371/journal.pgen.0030098,inconclusive,conceptual,2009,Whole genome survey of coding SNPs reveals a reproducible pathway determinant of Parkinson disease,biological sciences,,no,high,8.5
10.1002/humu.20989,https://doi.org/10.1016/j.cell.2008.05.048,failure,direct,2009,No association between<i>CALHM1</i>variation and risk of Alzheimer disease,biological sciences,,no,high,8.5
10.1002/humu.21009,https://doi.org/10.1002/humu.20705,failure,close extension,2009,The increased incidence of the RET p.Gly691Ser variant in French-Canadian vesicoureteric reflux patients is not replicated by a larger study in Ireland,biological sciences,,no,high,8.5
10.1002/hup.2802,https://doi.org/10.1016/j.psychres.2019.03.041,success,direct or close,2021,Comparison of potential psychiatric drug interactions in six drug interaction database programs: A replication study after 2 years of updates,biological sciences,,no,,
10.1002/ibd.21752,https://doi.org/10.1038/nature08979,success,close experiment,2012,Independent Replication of an Association of CNVR7113.6 with Crohnʼs Disease in Caucasians,biological sciences,,no,high,8.5
10.1002/ijc.23448,https://doi.org/10.1158/1055-9965.1589.13.10,inconclusive,close extension,2008,Consortium analysis of 7 candidate SNPs for ovarian cancer,biological sciences,,no,high,8.5
10.1002/ijc.23453,https://doi.org/10.1021/jf00056a035,success,close extension,2008,"β‐Ionone suppresses mammary carcinogenesis, proliferative activity and induces apoptosis in the mammary gland of the Sprague‐Dawley rat",biological sciences,,no,medium,8.5
10.1002/ijc.23471,https://doi.org/10.1038/ng2015,inconclusive,close extension,2008,Chromosome 8q24 markers: Risk of early‐onset and familial prostate cancer,biological sciences,,no,high,8.5
10.1002/ijc.23682,https://doi.org/10.1158/0008-5472.can-04-3247,inconclusive,direct,2008,Replication of a genome‐wide case–control study of esophageal squamous cell carcinoma,biological sciences,,no,high,8.4
10.1002/imhj.21350,,success,close extension,2012,Coparenting interactions observed by the prenatal lausanne trilogue play: An Italian replication study,social sciences,,no,high,8.4
10.1002/jaba.484,https://doi.org/10.1002/bin.321,success,close extension,2018,Effects of reinforcement without extinction on increasing compliance with nail cutting: A systematic replication,social sciences,,no,high,8.0
10.1002/jaba.679,https://doi.org/10.1901/jaba.2012.45-839,success,close extension,2020,Preference for leisure items over edible items in individuals with dementia: A replication,social sciences,,no,high,8.4
