tier,doi_r,screen_class,screen_confident,abstract_source,abstract_chars,title_r,mo_result,mo_type,mo_year,mo_field,screen_evidence,screen_reasoning
1,10.1016/j.drugalcdep.2018.03.013,replication,yes,epmc,1599,Evaluation of previous substance dependence genome-wide significant findings in a Spanish sample,failure,close extension,2018,biological sciences,,
1,10.1016/j.eplepsyres.2005.01.002,replication,yes,epmc,1531,Supportive evidence for an allelic association of the human KCNJ10 potassium channel gene with idiopathic generalized epilepsy,success,direct,2005,biological sciences,,
1,10.1016/j.eplepsyres.2006.06.021,replication,yes,epmc,980,Confirmatory evidence for an association of the connexin-36 gene with juvenile myoclonic epilepsy,success,direct,2006,biological sciences,,
1,10.1016/j.eururo.2023.04.028,replication,yes,epmc,1285,Baseline Serum Prostate-specific Antigen Value Predicts the Risk of Subsequent Prostate Cancer Death—Results from the Norwegian Prostate Cancer Consortium,success,close extension,2024,biological sciences,,
1,10.1016/j.exger.2010.10.003,replication,yes,epmc,1936,Association of a common LAMA5 variant with anthropometric and metabolic traits in an Italian cohort of healthy elderly subjects,success,close extension,2011,biological sciences,,
1,10.1016/j.expneurol.2010.11.016,replication,yes,epmc,2012,Independent evaluation of the effects of glibenclamide on reducing progressive hemorrhagic necrosis after cervical spinal cord injury,success,close experiment,2012,biological sciences,,
1,10.1016/j.expneurol.2011.09.019,replication,yes,epmc,1204,A re-assessment of the effects of intracortical delivery of inosine on transmidline growth of corticospinal tract axons after unilateral lesions of the medullary pyramid,failure,direct or close,2011,biological sciences,,
1,10.1016/j.gene.2013.05.055,replication,yes,epmc,1112,Lack of association of EGR2 variants with bipolar disorder in Japanese population,failure,close extension,2013,biological sciences,,
1,10.1016/j.gene.2018.06.024,replication,yes,epmc,1050,The role of CDKN2B in cardiovascular risk in ethnic Saudi Arabs: A validation study,success,direct or close,2018,biological sciences,,
1,10.1016/j.hrtlng.2004.03.004,replication,yes,epmc,1570,Predictors of successful heart failure self-care maintenance in the first three months after hospitalization,failure,close experiment,2004,biological sciences,,
1,10.1016/j.humimm.2014.09.023,replication,yes,epmc,1609,SNP/haplotype associations of CCR2 and CCR5 genes with severity of chagasic cardiomyopathy,success,direct,2014,biological sciences,,
1,10.1016/j.ienj.2021.101044,replication,yes,epmc,1429,The lived experience of workplace reciprocity of emergency nurses in the mid-Atlantic region of the U.S.: A descriptive phenomenological study,success,direct or close,2021,biological sciences,,
1,10.1016/j.ijnurstu.2010.02.014,replication,yes,epmc,1671,Relationship of job satisfaction with perceived organizational support and quality of care among South Korean nurses: A questionnaire survey,inconclusive,close extension,2010,biological sciences,,
1,10.1016/j.jacc.2007.09.044,replication,yes,epmc,1830,A Kinesin Family Member 6 Variant Is Associated With Coronary Heart Disease in the Women’s Health Study,success,close extension,2008,biological sciences,,
1,10.1016/j.jad.2019.05.055,replication,yes,epmc,1845,Examining raphe-amygdala structural connectivity as a biological predictor of SSRI response,reversal,close extension,2019,biological sciences,,
1,10.1016/j.jagp.2014.10.004,replication,yes,epmc,1580,Impulsive Traits and Unplanned Suicide Attempts Predict Exaggerated Prefrontal Response to Angry Faces in the Elderly,failure,close extension,2015,biological sciences,,
1,10.1016/j.jbtep.2004.11.005,replication,yes,epmc,1417,Dissociation related to subjective memory fragmentation and intrusions but not to objective memory disturbances,success,close experiment,2005,social sciences,,
1,10.1016/j.jdermsci.2012.07.002,replication,yes,epmc,2107,Analysis of genetic variants of class II cytokine and their receptor genes in psoriasis patients of two ethnic groups from the Volga-Ural region of Russia,inconclusive,close extension,2012,biological sciences,,
1,10.1016/j.jecp.2012.10.011,replication,yes,epmc,1200,The role of linguistic labels in inductive generalization,success,close experiment,2013,social sciences,,
1,10.1016/j.jhealeco.2007.10.010,replication,yes,epmc,611,Child Mental Health and Human Capital Accumulation: The Case of ADHD Revisited,success,direct or close,2007,social sciences,,
1,10.1016/j.jml.2008.09.001,replication,yes,epmc,969,Shared features dominate semantic richness effects for concrete concepts,success,close experiment,2009,social sciences,,
1,10.1016/j.jml.2015.04.005,replication,yes,epmc,1530,The effect of contextual constraint on parafoveal processing in reading,success,direct,2015,social sciences,,
1,10.1016/j.jml.2018.05.006,replication,yes,epmc,1160,Individual differences in syntactic processing: Is there evidence for reader-text interactions?,success,close experiment,2018,social sciences,,
1,10.1016/j.jns.2015.06.056,replication,yes,epmc,1684,Association of the Charcot–Marie–Tooth disease gene ARHGEF10 with paclitaxel induced peripheral neuropathy in NCCTG N08CA (Alliance),success,close extension,2015,biological sciences,,
1,10.1016/j.jsat.2013.07.013,replication,yes,epmc,968,Computer-delivered screening and brief intervention (e-SBI) for postpartum drug use: A randomized trial,inconclusive,close experiment,2014,biological sciences,,
1,10.1016/j.jsat.2017.09.011,replication,yes,epmc,1552,Effect of computerized cognitive behavioral therapy on acquisition of coping skills among cocaine-dependent individuals enrolled in methadone maintenance,failure,close extension,2017,biological sciences,,
1,10.1016/j.mce.2016.05.020,replication,yes,epmc,1185,The ENPP1 K121Q polymorphism is associated with type 2 diabetes and related metabolic phenotypes in a Taiwanese population,success,close extension,2016,biological sciences,,
1,10.1016/j.neulet.2004.04.021,replication,yes,epmc,1045,No association between the genetic polymorphisms within RTN4 and schizophrenia in the Chinese population,failure,close extension,2004,biological sciences,,
1,10.1016/j.neulet.2004.10.015,replication,yes,epmc,1043,No association was found between a functional SNP in ZDHHC8 and schizophrenia in a Japanese case–control population,failure,close extension,2005,biological sciences,,
1,10.1016/j.neulet.2011.06.038,replication,yes,epmc,1196,Genetic studies of the protein kinase AKT1 in Parkinson's disease,failure,close extension,2011,biological sciences,,
1,10.1016/j.neures.2010.06.014,replication,yes,epmc,1270,Further evidence for the role of MET in autism susceptibility,inconclusive,close extension,2010,biological sciences,,
1,10.1016/j.neurobiolaging.2007.12.016,replication,yes,epmc,808,Further delineation of the association signal on chromosome 5 from the first whole genome association study in Parkinson's disease,failure,direct,2009,biological sciences,,
1,10.1016/j.neurobiolaging.2012.12.018,replication,yes,epmc,1044,TREM2 is associated with the risk of Alzheimer's disease in Spanish population,success,close extension,2013,biological sciences,,
1,10.1016/j.neurobiolaging.2014.12.012,replication,yes,epmc,840,Assessment of RIT2 rs12456492 association with Parkinson's disease in Mainland China,success,close extension,2015,biological sciences,,
1,10.1016/j.neurobiolaging.2018.03.027,replication,yes,epmc,710,No association between 5 new GWAS-linked loci in Parkinson's disease and multiple system atrophy in a Chinese population,failure,close extension,2018,biological sciences,,
1,10.1016/j.neurobiolaging.2018.09.012,replication,yes,epmc,1123,Association of NIPA1 repeat expansions with amyotrophic lateral sclerosis in a large international cohort,success,direct,2019,biological sciences,,
1,10.1016/j.neuroimage.2008.04.023,replication,yes,epmc,2018,Subcortical processes of motor response inhibition during a stop signal task,success,close experiment,2008,biological sciences,,
1,10.1016/j.neuroimage.2011.09.075,replication,yes,epmc,1198,Reduced phase locking to slow amplitude modulation in adults with dyslexia: An MEG study,failure,conceptual,2012,biological sciences,,
1,10.1016/j.neuropsychologia.2017.02.016,replication,yes,epmc,1795,Focused stimulation of dorsal subthalamic nucleus improves reactive inhibitory control of action impulses,success,close extension,2017,biological sciences,,
1,10.1016/j.ophtha.2012.07.078,replication,yes,epmc,2491,Matrix Metalloproteinases and Educational Attainment in Refractive Error,inconclusive,close extension,2013,biological sciences,,
1,10.1016/j.parkreldis.2007.11.002,replication,yes,epmc,1124,Reappraisal of the role of the DRD3 gene in essential tremor,failure,close experiment,2008,biological sciences,,
1,10.1016/j.pnpbp.2006.02.008,replication,yes,epmc,1155,Brain-derived neurotrophic factor gene (BDNF) variants and schizophrenia: An association study,failure,close experiment,2006,biological sciences,,
1,10.1016/j.pnpbp.2011.09.003,replication,yes,epmc,1553,Impaired functioning in euthymic patients with bipolar disorder — HSV-1 as a predictor,success,close extension,2012,biological sciences,,
1,10.1016/j.pscychresns.2005.05.008,replication,yes,epmc,1426,Reduced hippocampal volume among adolescents with alcohol use disorders without psychiatric comorbidity,inconclusive,close extension,2005,biological sciences,,
1,10.1016/j.psychres.2011.01.012,replication,yes,epmc,1216,Anticipatory vs. consummatory pleasure: What is the nature of hedonic deficits in schizophrenia?,failure,close extension,2011,social sciences,,
1,10.1016/j.psyneuen.2016.08.017,replication,yes,epmc,2387,"Behavioral, pharmacological and neuroanatomical analysis of serotonin 2C receptor agonism on maternal behavior in rats",success,close extension,2016,biological sciences,,
1,10.1016/j.psyneuen.2017.03.005,replication,yes,epmc,1162,Revisiting the impact of OXTR rs53576 on empathy: A population-based study and a meta-analysis,success,close extension,2017,social sciences,,
1,10.1016/j.psyneuen.2020.104787,replication,yes,epmc,1915,Automatic Imitation in Comorbid PTSD &amp; Alcohol Use Disorder and Controls: an RCT of Intranasal Oxytocin,success,close experiment,2020,biological sciences,,
1,10.1016/j.rmed.2014.05.017,replication,yes,epmc,2130,Lack of association between KIR and HLA-C type and susceptibility to idiopathic bronchiectasis,failure,direct,2014,biological sciences,,
1,10.1016/j.schres.2004.07.002,replication,yes,epmc,1114,A case-control study of the relationship between the metabotropic glutamate receptor 3 gene and schizophrenia in the Chinese population,failure,close extension,2005,biological sciences,,
1,10.1016/j.schres.2005.05.002,replication,yes,epmc,714,No association of haplotype-tagging SNPs in TRAR4 with schizophrenia in Japanese patients,failure,close extension,2005,biological sciences,,
1,10.1016/j.schres.2006.12.020,replication,yes,epmc,879,No association between the glutamate decarboxylase 67 gene (GAD1) and schizophrenia in the Japanese population,failure,close extension,2007,biological sciences,,
1,10.1016/j.schres.2008.06.004,replication,yes,epmc,715,The association between schizophrenia and smoking: Unexplained by either the illness or the prodromal period,inconclusive,direct,2008,biological sciences,,
1,10.1016/j.schres.2017.06.018,replication,yes,epmc,1826,Psychometrics of social cognitive measures for psychosis treatment research,inconclusive,close extension,2018,biological sciences,,
1,10.1016/j.schres.2018.11.002,replication,yes,epmc,1295,Herpes simplex virus 1 infection and valacyclovir treatment in schizophrenia: Results from the VISTA study,failure,direct,2019,biological sciences,,
1,10.1016/j.trd.2018.08.009,replication,yes,epmc,1445,Re-searching for hidden costs: Evidence from the adoption of fuel-saving technologies in light-duty vehicles,success,close extension,2018,social sciences,,
1,10.1016/j.visres.2013.10.011,replication,yes,epmc,1236,Perceptual learning of motion direction discrimination transfers to an opposite direction with TPE training,success,direct,2014,social sciences,,
1,10.1016/j.visres.2022.108031,replication,yes,epmc,1381,Benefits from negative templates in easy and difficult search depend on rapid distractor rejection and enhanced guidance,success,direct,2022,social sciences,,
1,10.1016/j.yhbeh.2009.07.005,replication,yes,epmc,1511,"Chronic estradiol replacement impairs performance on an operant delayed spatial alternation task in young, middle-aged, and old rats",success,close extension,2009,biological sciences,,
1,10.1016/j.yhbeh.2010.08.017,replication,yes,epmc,1486,Impact of estrogen receptor alpha and beta agonists on delayed alternation in middle-aged rats,success,direct,2010,biological sciences,,
1,10.1016/j.yhbeh.2019.07.008,replication,yes,epmc,1643,Do women's faces become more attractive near ovulation?,failure,close extension,2019,social sciences,,
1,10.1016/j.ymgme.2011.05.018,replication,yes,epmc,1380,Polymorphic locus rs10492972 of the KIF1B gene association with multiple sclerosis in Russia: Case control study,failure,close extension,2011,biological sciences,,
1,10.1016/s0005-7967(03)00074-3,replication,yes,epmc,1110,Factor structure and stability of the Anxiety Sensitivity Index in a longitudinal study of anxiety disorder patients,success,direct,2004,social sciences,,
1,10.1016/s0015-0282(98)00448-8,replication,yes,epmc,1220,Differences in the attitudes of couples whose children were conceived through artificial insemination by donor in 1980 and in 1996,success,direct,1999,biological sciences,,
1,10.1016/s0165-0327(02)00312-9,replication,yes,epmc,1355,Blood-injury related phobic avoidance as predictor of nonresponse to pharmacotherapy in panic disorder with agoraphobia,success,close extension,2004,biological sciences,,
1,10.1016/s0165-0327(97)00042-6,replication,yes,epmc,860,Autosomal recessive inheritance of affective disorders in families of responders to lithium prophylaxis?,success,close extension,1997,biological sciences,,
1,10.1016/s0304-3940(02)00221-5,replication,yes,epmc,628,Association study of the 5-hydroxytryptamine6 receptor gene in Alzheimer's disease,failure,close extension,2002,biological sciences,,
1,10.1027/1864-9335/a000308,replication,yes,oa,736,"The Ego Could Be Depleted, Providing Initial Exertion Is 					Depleting",success,conceptual,2017,social sciences,,
1,10.1037/0022-006x.64.5.927,replication,yes,oa,826,Dose–effect relations in time-limited psychotherapy for depression.,inconclusive,close extension,1996,social sciences,,
1,10.1037/a0013838,replication,yes,oa,1052,Earning its place as a pan-human theory: Universality of the big-fish-little-pond effect across 41 culturally and economically diverse countries.,success,direct or close,2009,social sciences,,
1,10.1038/s41598-020-66915-9,replication,yes,oa,960,No relationship between the digit ratios (2D:4D) and salivary testosterone change: Study on men under an acute exercise,inconclusive,direct or close,2020,biological sciences,,
1,10.1038/srep05304,replication,yes,oa,928,Is ostension any more than attention?,failure,close experiment,2014,social sciences,,
1,10.1038/tp.2012.41,replication,yes,oa,1715,Genome-wide meta-analyses of smoking behaviors in African Americans,success,close extension,2012,biological sciences,,
1,10.1080/02699931.2017.1394817,replication,yes,oa,1236,Enhanced recall of disgusting relative to frightening photographs is not due to organisation,success,close experiment,2018,social sciences,,
1,10.1111/j.1468-0297.2010.02365.x,replication,yes,oa,1162,Forced to Be Rich? Returns to Compulsory Schooling in Britain,failure,direct or close,2008,social sciences,,
1,10.1126/science.1218455,replication,yes,oa,977,"GFAJ-1 Is an Arsenate-Resistant, Phosphate-Dependent Organism",failure,close experiment,2012,biological sciences,,
1,10.1126/science.1219861,replication,yes,oa,1057,Absence of Detectable Arsenate in DNA from Arsenate-Grown GFAJ-1 Cells,failure,direct,2012,biological sciences,,
1,10.1136/ard.2007.071662,replication,yes,epmc,2203,"Associations between Human leukocyte antigen, PTPN22, CTLA4 genotypes and rheumatoid arthritis phenotypes of autoantibody status, age at diagnosis and erosions in a large cohort study",inconclusive,close extension,2008,biological sciences,,
1,10.1136/ard.2008.100180,replication,yes,epmc,1229,A large multicentre analysis of CTGF −945 promoter polymorphism does not confirm association with systemic sclerosis susceptibility or phenotype,failure,direct,2009,biological sciences,,
1,10.1159/000074633,replication,yes,oa,1511,Transcription Factor AP-2β Genotype Associated with Anxiety-Related Personality Traits in Women,success,direct,2003,social sciences,,
1,10.1162/rest_a_00437,replication,yes,oa,708,Does Online Availability Increase Citations? Theory and Evidence from a Panel of Economics and Business Journals,failure,direct or close,2014,social sciences,,
1,10.1177/0047237917704635,replication,yes,oa,1542,Prevalence and Co-Occurrence of Addictive Behaviors Among Russian and Spanish Youth,success,close extension,2016,social sciences,,
1,10.1177/0163278712448772,replication,yes,oa,1126,Psychometric Properties of the Listening Styles Profile (LSP-16),success,close extension,2012,social sciences,,
1,10.1182/blood-2009-04-217521,replication,yes,oa,1090,A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma,success,close extension,2009,biological sciences,,
1,10.1212/01.wnl.0000113722.93895.8b,replication,yes,oa,617,"<i>TNF</i>
            -376A marks susceptibility to MS in the Spanish population",success,direct,2004,biological sciences,,
1,10.1257/aer.98.5.2259,replication,yes,oa,586,Can Hepatitis B Mothers Account for the Number of Missing Women? Evidence from Three Million Newborns in Taiwan,failure,direct or close,2008,social sciences,,
1,10.1257/pol.5.3.92,replication,yes,oa,638,Driving under the (Cellular) Influence,inconclusive,direct or close,2013,social sciences,,
1,10.1371/journal.pone.0147770 ; 10.1371/journal.pone.0147770.s002,replication,yes,oa,1337,No Evidence of the Ego-Depletion Effect across Task Characteristics and Individual Differences: A Pre-Registered Study,failure,direct or close,2016,social sciences,,
1,10.15626/mp.2019.1778,replication,yes,oa,989,Perceived Discrimination against Black Americans and White Americans,failure,conceptual,2021,social sciences,,
1,10.31234/osf.io/hb69x,replication,yes,oa,977,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,failure,direct or close,2021,social sciences,,
1,10.3758/app.71.5.1138,replication,yes,epmc,1040,Perceptuomotor compatibility effects in speech,success,close experiment,2009,social sciences,,
