doi_r,doi_o,outcome,mo,outcome_phrase,outcome_reasoning,link_method,pdf_source
10.3324/haematol.2010.022459,10.1038/ng.432,mixed,success,"The 5 SNPs from this region annotated the ARID5B gene and were strongly associated with B-cell ALL risk in our cohort; odds ratio estimates were in the same direction and were of similar strength as those previously reported (Online Supplementary Table S2). | We were unable to replicate the reported associations with IKZF1, DDC, and CEBPE; nor did we find an association of OR2C3 with t(12;21)/ETV6-RUNX1 ALL (Online Supplementary Table S2).",The paper reports confirmation of ARID5B signals and non-replication of other signals included in the tested GWAS findings.,llm_title_search,openalex_xml
10.1163/22134808-00002573,10.3758/app.72.7.1994,mixed,success,"In light of the 'replication crisis' in psychology as found by the Open Science Collaboration, it is noteworthy that this crossmodal pitch/taste correspondence, at least for trombone, was replicated in a different lab. | When looking at the effect of taster status, we found a significant correlation [r(44)=0.389, p=0.007] with supertasters associating the bitterness of a PTC strip with higher pitches than did nontasters - this is in contrast with Crisinel and Spence's finding of no correlation with taster status.","The trombone correspondence was explicitly replicated, whereas the taster-status finding directly contrasted with the original, making the overall result mixed.",llm_references,
10.1186/s40479-017-0077-1,10.1111/j.1600-0447.2008.01222.x,mixed,success,"By comparing patients with BPD to HC, we replicated five of the seven previously reported dysregulated emotion sequences, as well as 111 out of 113 unaltered sequences.","The paper reports that most previously reported sequences replicated but that two of seven dysregulated sequences did not, so the replication is partly successful and partly unsuccessful.",llm_references,
10.1037/xge0000451,10.1037/0022-3514.85.1.5,mixed,success,"As in Wegner et al.’s (2003) original study, participants in quiz one produced significantly more correct responses for easy questions than for hard questions, indicating that, despite the instruction to respond randomly, knowledge of the correct answers strongly influenced their responses. At the same time, participants’ estimated accuracy was far below their actual accuracy, suggesting that they projected their answers to an external source and were unaware that they had answered a considerable proportion of questions correctly. In Wegner et al.’s original study, the average estimate of accuracy was greater than the expected value of 50% (which would correspond to truly random responding). In quiz one, however, our participants’ average estimate was below 50% (M = 42.96, SD = 21.67, one sample t(59) = -2.52, p = .015), which suggests that these participants were not aware of any tendency towards correct responding and instead believed they had performed particularly poorly in quiz one.","The replication reproduced the original accuracy bias but differed from the original on estimated accuracy, so the tested components do not all agree.",llm_title_search,crossref_search
10.1111/jmft.12383,10.1111/j.1752-0606.2011.00254.x,mixed,success,"A comparison of results across the two studies revealed more similarities than differences. However, a few notable differences emerged from responses to qualitative questions, namely a heightened sense of appreciation for and resonance with the focus on core emotion in EFT and less frequent reports of difficulty learning and adapting to the model among Spanish-speaking therapists.","The paper reports broad similarity with the original but also explicitly identifies notable differences in qualitative responses, making the comparison partly agreeing and partly divergent.",llm_cited_candidates,
10.3389/fpubh.2019.00127,10.1037/ppm0000172,mixed,success,"In fact, most findings were replicated which suggests that results of the work by Lachmann et al. (1) can be considered generally valid. | In accordance with the I-PACE model and/or the original study, high IUD and SUD scores showed associations with high Neuroticism, low Conscientiousness and low Agreeableness (note that the Agreeableness-SUD, Conscientiousness-SUD links were not significant), while Extraversion was negatively correlated with IUD but not correlated with SUD, and Openness was negatively correlated with SUD but not correlated with IUD.","The authors report that most findings replicated but also identify specific non-significant or differing associations, so the evidence is partly supportive and partly discrepant.",llm_title_search,openalex_xml
10.3390/ani9100835,10.1016/j.jveb.2011.01.002,mixed,success,"Nevertheless, the results showed that there was a very good level of overlap between the outcomes of the tests that were conducted in the two different experiments when analysing traits, such as sociability towards people and other dogs and playfulness. This suggests that the test was well designed to measure these behavioural constructs.","The paper reports strong agreement for several dimensions but also says that other extracted dimensions were less consistent, although the supplied passage does not fully state the overall verdict.",llm_title_search,openalex_xml
10.1177/1747021820915107,10.1038/s41598-018-22396-5,mixed,success,"Laine et al. demonstrated that instructing young adult participants to use a specific visualisation strategy for N-back training resulted in clear, generalised benefits from only 30 min of training (Strategy Mediation Hypothesis of training). Here, we report a systematic replication and extension of the Laine et al. study, by administering 60 younger and 60 older participants a set of WM tasks before and after a 30-min N-back training session. The instructed visualisation strategy significantly boosted at least some measures of N-back performance in participants of both age groups, although the strategy generally appeared more difficult to implement and less beneficial for older adults. However, the strategy did not improve performance on structurally different WM tasks.",The replication reproduced strategy-related improvements on some N-back measures but did not reproduce the reported generalised benefits on structurally different working-memory tasks.,llm_references,
10.18718/81781.15,10.1016/j.jbankfin.2014.05.033,mixed,success,"The study confirms the superiority of semiparametric estimation over classical methods such as mixture normal and Student-t approximations in estimating tail distribution of portfolios, which can be credited to the model's uniqueness in combining strengths of both extreme value theory (EVT) models and other multivariate models. The author however discovers, in one instance, the infeasibility of the Dias model, and suggests a modification.","The abstract says the replication confirms Dias's superiority claim, but it also reports one instance where the Dias model was infeasible, so the paper is only partly supportive.",llm_title_search,openalex_xml
10.1016/j.lmot.2021.101728,10.1002/jeab.576,mixed,success,"In contrast to previous findings, we did not observe as reliable of decreases in button pressing during extinction (1) after training with VR or VI schedules of reinforcement, (2) in the presence or absence of context changes, or (3) with an added response cost for button pressing. Nevertheless, we observed ABA renewal of button pressing when changing background contexts across phases and resurgence when extinguishing presses on an alternative button.",The replication failed to reproduce the previous extinction decreases reliably but reproduced the reported renewal and resurgence phenomena.,llm_references,
10.1002/hbm.25572,10.1093/cercor/bhy109,mixed,success,"We replicated the majority of sex differences (93%, 84/94) reported by Ritchie et al. (2018) with the Desikan-Killiany Cortical","The paper reports that most, but not all, of the target study's sex differences replicated, indicating partial rather than complete agreement.",llm_title_search,openalex_xml
10.1111/jnu.12713,10.1111/jar.12645,mixed,success,"Nurses' attitudes toward adults with intellectual disability were significantly less positive compared to adults without intellectual disability, and nurses' beliefs about the quality of life of adults with intellectual disability predicted nurses' attitudes, replicating findings of the USA study. The frequency of both the professional and personal contact was associated with positive and negative emotions in both countries, however no consistent predictive pattern was evident.","The paper explicitly says that some findings replicated the USA study but reports no consistent predictive pattern for the contact-emotion findings, making the overall result mixed.",llm_references,
10.4054/demres.2024.51.31,10.4054/demres.2021.44.11,mixed,success,"The association between prefecture-level development and living alone remains positive in China as of 2020. However, the probability of living alone in less-developed areas is unexpectedly higher than that in middle-developed areas. Further, the curvilinear association between prefecture-level development and living alone is weak after controlling for migration status.","The replication confirms a positive development–living-alone association but reports unexpected subgroup ordering and a weak curvilinear pattern, indicating partial agreement and partial divergence from the target finding.",llm_cited_candidates,
10.3389/fpsyg.2025.1531759,10.1007/s11031-022-09975-w,mixed,success,"However, ostracism had no effect on implicit group evaluation (repeated IATs showed a constant own group bias) and although excluded participants recovered from ostracism-induced impairments in emotions and needs, associations between recovery and GD indicators were mixed. | Most of the results of Rühs et al. (2022) could be replicated.","The paper explicitly reports that most, but not all, of Rühs et al.'s results were replicated, with some effects absent or mixed.",llm_cited_candidates,
10.1057/9781137293626_12,10.1093/oxfordjournals.jae.a020932,mixed,failure,"The Concluding Remarks of the SW paper state that poor economic policies have had a larger negative impact on Africa's growth rates than have geographic factors. This does not stand up to replication, at least in terms of explaining the growth differences between Africa and the developing countries other than the fastest-growing Asian economies. | SW also state that neither neighborhood nor regional effects caused any additional drag on Africa's growth given the set of independent variables in their regressions. This is supported by my replication.",The replication rejects the original policy-versus-geography conclusion but explicitly supports another reported SW finding about neighborhood and regional effects.,llm_title_search,openalex_xml
10.1371/journal.pone.0060231,10.1038/mp.2011.82,mixed,failure,"Had PBIF been used exclusively, we would not have missed the main finding of the study, i.e. that cannabis smoking is associated with a downregulation of CB1 receptors in the brain that is reversible after abstinence. However, we would have incorrectly concluded that receptor downregulation occurred in all brain regions non-selectively, which is inconsistent with the known physiology of CB1 receptors [26] [31].","The main reversible downregulation finding was retained, but PBIF also produced erroneous nonselective regional findings, so the replication was partly concordant and partly discordant.",llm_title_search,openalex_xml
10.1128/aac.49.6.2180-2188.2005,10.1046/j.1365-2958.2003.03627.x,mixed,failure,"The significant associations with pfmdr-1042 detected in the first survey remained. However, with the exception of the G7-artesunate association, all other associations observed with the nine new candidate transporters disappeared. We also examined linkage disequilibrium (LD) between markers and phenotypic correlations between drug responses. We found minimal LD between genes. Furthermore, we found no correlation between chloroquine and quinine responses, although we did find expected strong correlations between MFQ, QN, AS, DHA, and LUM. To conclude, we found no evidence for an association between 8/9 candidate genes and response to eight different antimalarial drugs. However, the consistent association observed between a 3-bp indel in G7 and AS response merits further investigation.","The paper reports that the G7 association persisted while the other candidate-transporter associations disappeared, explicitly presenting partial replication rather than uniform support or failure.",llm_references,
10.1097/00131746-200509000-00004,10.1016/s0006-3223(02)01500-7,mixed,failure,"There was no significant difference between the CrPic and placebo groups in both the ITT and evaluable populations on the primary efficacy measures, with both groups showing significant improvement from baseline on total HAM-D-29 scores during the course of treatment (p < 0.0001). However, in the evaluable population, the CrPic group showed significant improvements from baseline compared with the placebo group on 4 HAM-D-29 items: appetite increase, increased eating, carbohydrate craving, and diurnal variation of feelings. A supplemental analysis of data from the subset of 41 patients in the ITT population with high carbohydrate craving (26 CrPic, 15 placebo; mean BMI = 31.1) showed that the CrPic patients had significantly greater response on total HAM-D-29 scores than the placebo group (65% vs. 33%; p < 0.05)",The replication failed to reproduce a significant overall treatment difference on the primary efficacy measures but reproduced beneficial effects for carbohydrate-craving-related symptoms and in the high-craving subgroup.,llm_references,
10.1111/j.1467-7687.2008.00781.x,10.1111/1467-9280.00177,mixed,failure,"Although we replicated their finding that infants attend to changes in contour length, infants in our study attended to number and perimeter/area simultaneously.","The paper explicitly says it replicated one aspect of the original finding while also finding simultaneous attention to number and continuous extent, rather than the original preferential pattern.",llm_references,
10.1111/head.12240,10.1038/ng.2307,mixed,failure,"PRDM16 rs2651899 variant genotype and allele showed a protective effect on migraine and MO susceptibility. | On the other hand, TRPM8 rs10166942 and TGFBR2 rs7640543 variants did not have significant influence on migraine susceptibility in the North Indian population.","The PRDM16 finding is supported but the TGFBR2 finding is not, yielding partial replication of the findings associated with this original paper.",llm_references,
10.5551/jat.14589,10.1038/ng.685,mixed,failure,"This SNP has been previously reported to be significantly associated with the waist-hip ratio in women, but not men 12) . A recent report also indicated that rs4846567 was strongly associated with the V/S ratio in women (p = 0.0004), but not men (p = 0.05) 14) . | We did not find any association between SNPs in genes other than LYPLAL1 and the VFA, SFA, and V/S ratio values in the current study.","The LYPLAL1 result agrees with the reported sex-specific association, whereas the other tested loci did not show associations.",llm_title_search,openalex_xml
10.1002/ajmg.b.31088,10.1001/archpsyc.63.8.844,mixed,failure,"Though we could not replicate the association with SNPs rs445422 and rs208747, we did observe a significant protective association with intronic SNP rs13276297. Furthermore, we performed a meta-analysis comprising 1,794 SZ patients and 1,553 controls, which confirmed the previously reported association with rs445422 and rs208747.","The Swedish sample did not reproduce the reported SNP association, whereas the combined meta-analysis confirmed it, yielding evidence that is both negative and supportive.",llm_references,
10.1002/ajmg.b.31088,10.1038/mp.2008.128,mixed,failure,"Though we could not replicate the association with SNPs rs445422 and rs208747, we did observe a significant protective association with intronic SNP rs13276297. Furthermore, we performed a meta-analysis comprising 1,794 SZ patients and 1,553 controls, which confirmed the previously reported association with rs445422 and rs208747.","The Swedish sample did not reproduce the reported SNP association, whereas the combined meta-analysis confirmed it, yielding evidence that is both negative and supportive.",llm_references,
10.1016/j.annepidem.2010.12.003,10.1097/psy.0b013e31816a8dbc,mixed,failure,"The current data supported the previous finding that psychopathology in early-and mid-adulthood predicted later CFS/ME (8). There was also support across the cohorts for a cross-sectional association between CFS/ ME and psychopathology (10), in agreement with previous research (2-4, 24, 25). In contrast, the data did not support previous findings regarding extremes of physical activity. There was no evidence that performing sporting activity at age 11 was associated with reduced odds of CFS/ME (10), or that persistent physical activity in early-to midadulthood increased the risk of CFS/ME (9).","The 1946 cohort's persistent physical-activity association was not reproduced, while the paper's broader replication findings include support for the corresponding adult psychopathology association.",llm_title_search,openalex_xml
10.1017/s0261444808005442,10.1093/applin/19.1.1,mixed,failure,"The results of the replication study partially confirm Foster's results, and introduce some further differentiated findings.","The authors explicitly say that Foster's results were only partially confirmed, indicating agreement with some aspects but not a full replication.",llm_references,
10.1002/pros.21443,10.1086/432377,mixed,failure,"Of the regions identified previously, modest evidence of replication was observed only on the short arm of chromosome 8, where HLOD scores of 1.63 and 3.60 were observed in the complete set of families and families with young average age at diagnosis, respectively.","The paper reports replication for only the previously implicated chromosome 8p region, indicating partial support rather than confirmation of all prior linkage findings.",llm_references,
10.1037/xge0000102,10.1037/a0015850,mixed,failure,"In Experiment 1 (n = 145), we found a hint of a priming effect on object-location memory, but also an unanticipated interaction between priming and gender. In Experiment 2 (n = 90), we included gender as a formal factor and doubled the ""dosage"" of the priming, yet did not see any priming effects on memory. In Experiment 3 (n = 101), we octupled the priming ""dosage"" and again saw no significant effects on memory. Finally, in Experiment 4 (n = 102), we performed an exact replication of the methods of the original reports and again found no priming effects on memory.","The replication evidence is partly suggestive in Experiment 1 but does not support the effect in Experiments 2–4, yielding a mixed result rather than a uniformly successful or failed replication.",llm_references,
10.1016/j.cortex.2016.08.006,10.1016/j.cub.2010.07.027,mixed,failure,"In contrast, evidence for the null was generally found for the two coordinates reported in Kanai et al. (2010) although evidence was only anecdotal in some cases (BFs between .003 and .83). | For posterior SPL GM volume, the conclusion is somewhat similar although multiple regression results do provide some evidence to support the original finding.","The direct tests of both posterior SPL findings generally opposed the original evidence, while the multiple-regression analyses provided some support for a posterior SPL role, which the authors present as a partly supportive result.",llm_title_search,openalex_xml
10.1371/journal.pone.0201655,10.1037/0022-3514.83.1.198,mixed,failure,"However, taking the results of both RTs and response levels into account, we found mixed evidence to support the findings of Robinson and Clore [8]. The main finding was that we observed an increase in both RTs and response levels with longer time frames, but found no consistent evidence for a change in response patterns that would suggest a shift in retrieval strategies for longer time frames.","The authors explicitly characterize the evidence for the original findings as mixed, with some effects agreeing and the theorized retrieval-strategy shift not consistently supported.",llm_title_search,row_url
10.1037/emo0001339,10.1037/0022-3514.50.4.761,mixed,failure,"We consider these results a partially successful replication of key tenets of the empathy-altruism hypothesis, though questions remain about the conditions under which perspective-taking promotes prosocial behavior and about the generalizability of our findings to populations beyond undergraduate women circa 1986.","The authors explicitly describe the replication as partially successful, with some findings supporting the hypothesis but the key manipulated effects on volunteering not replicated.",llm_author_year_search,crossref_search
